index,mid,display_name
221,m06j6l,Rhythm and blues
222,m0gywn,Soul music
223,m06cqb,Reggae
224,m01lyv,Country
225,m015y_n,Swing music
226,m0gg8l,Bluegrass
227,m02x8m,Funk
228,m02w4v,Folk music
229,m06j64v,Middle Eastern music
230,m03_d0,Jazz
231,m026z9,Disco
232,m0ggq0m,Classical music
233,m05lls,Opera
234,m02lkt,Electronic music
235,m03mb9,House music
236,m07gxw,Techno
237,m07s72n,Dubstep
238,m0283d,Drum and bass
239,m0m0jc,Electronica
240,m08cyft,Electronic dance music
241,m0fd3y,Ambient music
242,m07lnk,Trance music
243,m0g293,Music of Latin America
244,m0ln16,Salsa music
245,m0326g,Flamenco
246,m0155w,Blues
247,m05fw6t,Music for children
248,m02v2lh,New-age music
249,m0y4f8,Vocal music
250,m0z9c,A capella
251,m0164x2,Music of Africa
252,m0145m,Afrobeat
253,m02mscn,Christian music
254,m016cjb,Gospel music
255,m028sqc,Music of Asia
256,m015vgc,Carnatic music
257,m0dq0md,Music of Bollywood
258,m06rqw,Ska
259,m02p0sh1,Traditional music
260,m05rwpb,Independent music
261,m074ft,Song
262,m025td0t,Background music
263,m02cjck,Theme music
264,m03r5q_,Jingle (music)
265,m0l14gg,Soundtrack music
266,m07pkxdp,Lullaby
267,m01z7dr,Video game music
268,m0140xf,Christmas music
269,m0ggx5q,Dance music
270,m04wptg,Wedding music
271,tdd00031,Happy music
272,tdd00033,Sad music
273,tdd00034,Tender music
274,tdd00035,Exciting music
275,tdd00036,Angry music
276,tdd00037,Scary music
277,m03m9d0z,Wind
278,m09t49,Rustling leaves
279,tdd00092,Wind noise (microphone)
280,m0jb2l,Thunderstorm
281,m0ngt1,Thunder
282,m0838f,Water
283,m06mb1,Rain
284,m07r10fb,Raindrop
285,tdd00038,Rain on surface
286,m0j6m2,Stream
287,m0j2kx,Waterfall
288,m05kq4,Ocean
289,m034srq,Waves, surf
290,m06wzb,Steam
291,m07swgks,Gurgling
292,m02_41,Fire
293,m07pzfmf,Crackle
294,m07yv9,Vehicle
295,m019jd,Boat, Water vehicle
296,m0hsrw,Sailboat, sailing ship
297,m056ks2,Rowboat, canoe, kayak
298,m02rlv9,Motorboat, speedboat
299,m06q74,Ship
300,m012f08,Motor vehicle (road)
301,m0k4j,Car
302,m0912c9,Vehicle horn, car horn, honking
303,m07qv_d5,Toot
304,m02mfyn,Car alarm
305,m04gxbd,Power windows, electric windows
306,m07rknqz,Skidding
307,m0h9mv,Tire squeal
308,tdd00134,Car passing by
309,m0ltv,Race car, auto racing
310,m07r04,Truck
311,m0gvgw0,Air brake
312,m05x_td,Air horn, truck horn
313,m02rhddq,Reversing beeps
314,m03cl9h,Ice cream truck, ice cream van
315,m01bjv,Bus
316,m03j1ly,Emergency vehicle
317,m04qvtq,Police car (siren)
318,m012n7d,Ambulance (siren)
319,m012ndj,Fire engine, fire truck (siren)
320,m04_sv,Motorcycle
321,m0btp2,Traffic noise, roadway noise
322,m06d_3,Rail transport
323,m07jdr,Train
324,m04zmvq,Train whistle
325,m0284vy3,Train horn
326,m01g50p,Railroad car, train wagon
327,tdd00048,Train wheels squealing
328,m0195fx,Subway, metro, underground
329,m0k5j,Aircraft
330,m014yck,Aircraft engine
331,m04229,Jet engine
332,m02l6bg,Propeller, airscrew
333,m09ct_,Helicopter
334,m0cmf2,Fixed-wing aircraft, airplane
335,m0199g,Bicycle
336,m06_fw,Skateboard
337,m02mk9,Engine
338,tdd00065,Light engine (high frequency)
339,m08j51y,Dental drill, dentist's drill
340,m01yg9g,Lawn mower
341,m01j4z9,Chainsaw
342,tdd00066,Medium engine (mid frequency)
343,tdd00067,Heavy engine (low frequency)
344,m01h82_,Engine knocking
345,tdd00130,Engine starting
346,m07pb8fc,Idling
347,m07q2z82,Accelerating, revving, vroom
348,m02dgv,Door
349,m03wwcy,Doorbell
350,m07r67yg,Ding-dong
351,m02y_763,Sliding door
352,m07rjzl8,Slam
353,m07r4wb8,Knock
354,m07qcpgn,Tap
355,m07q6cd_,Squeak
356,m0642b4,Cupboard open or close
357,m0fqfqc,Drawer open or close
358,m04brg2,Dishes, pots, and pans
359,m023pjk,Cutlery, silverware
360,m07pn_8q,Chopping (food)
361,m0dxrf,Frying (food)
362,m0fx9l,Microwave oven
363,m02pjr4,Blender
364,m02jz0l,Water tap, faucet
365,m0130jx,Sink (filling or washing)
366,m03dnzn,Bathtub (filling or washing)
367,m03wvsk,Hair dryer
368,m01jt3m,Toilet flush
369,m012xff,Toothbrush
370,m04fgwm,Electric toothbrush
371,m0d31p,Vacuum cleaner
372,m01s0vc,Zipper (clothing)
373,m03v3yw,Keys jangling
374,m0242l,Coin (dropping)
375,m01lsmm,Scissors
376,m02g901,Electric shaver, electric razor
377,m05rj2,Shuffling cards
378,m0316dw,Typing
379,m0c2wf,Typewriter
380,m01m2v,Computer keyboard
381,m081rb,Writing
382,m07pp_mv,Alarm
383,m07cx4,Telephone
384,m07pp8cl,Telephone bell ringing
385,m01hnzm,Ringtone
386,m02c8p,Telephone dialing, DTMF
387,m015jpf,Dial tone
388,m01z47d,Busy signal
389,m046dlr,Alarm clock
390,m03kmc9,Siren
391,m0dgbq,Civil defense siren
392,m030rvx,Buzzer
393,m01y3hg,Smoke detector, smoke alarm
394,m0c3f7m,Fire alarm
395,m04fq5q,Foghorn
396,m0l156k,Whistle
397,m06hck5,Steam whistle
398,tdd00077,Mechanisms
399,m02bm9n,Ratchet, pawl
400,m01x3z,Clock
401,m07qjznt,Tick
402,m07qjznl,Tick-tock
403,m0l7xg,Gears
404,m05zc1,Pulleys
405,m0llzx,Sewing machine
406,m02x984l,Mechanical fan
407,m025wky1,Air conditioning
408,m024dl,Cash register
409,m01m4t,Printer
410,m0dv5r,Camera
411,m07bjf,Single-lens reflex camera
412,m07k1x,Tools
413,m03l9g,Hammer
414,m03p19w,Jackhammer
415,m01b82r,Sawing
416,m02p01q,Filing (rasp)
417,m023vsd,Sanding
418,m0_ksk,Power tool
419,m01d380,Drill
420,m014zdl,Explosion
421,m032s66,Gunshot, gunfire
422,m04zjc,Machine gun
423,m02z32qm,Fusillade
424,m0_1c,Artillery fire
425,m073cg4,Cap gun
426,m0g6b5,Fireworks
427,g122z_qxw,Firecracker
428,m07qsvvw,Burst, pop
429,m07pxg6y,Eruption
430,m07qqyl4,Boom
431,m083vt,Wood
432,m07pczhz,Chop
433,m07pl1bw,Splinter
434,m07qs1cx,Crack
435,m039jq,Glass
436,m07q7njn,Chink, clink
437,m07rn7sz,Shatter
438,m04k94,Liquid
439,m07rrlb6,Splash, splatter
440,m07p6mqd,Slosh
441,m07qlwh6,Squish
442,m07r5v4s,Drip
443,m07prgkl,Pour
444,m07pqc89,Trickle, dribble
445,tdd00088,Gush
446,m07p7b8y,Fill (with liquid)
447,m07qlf79,Spray
448,m07ptzwd,Pump (liquid)
449,m07ptfmf,Stir
450,m0dv3j,Boiling
451,m0790c,Sonar
452,m0dl83,Arrow
453,m07rqsjt,Whoosh, swoosh, swish
454,m07qnq_y,Thump, thud
455,m07rrh0c,Thunk
456,m0b_fwt,Electronic tuner
457,m02rr_,Effects unit
458,m07m2kt,Chorus effect
459,m018w8,Basketball bounce
460,m07pws3f,Bang
461,m07ryjzk,Slap, smack
462,m07rdhzs,Whack, thwack
463,m07pjjrj,Smash, crash
464,m07pc8lb,Breaking
465,m07pqn27,Bouncing
466,m07rbp7_,Whip
467,m07pyf11,Flap
468,m07qb_dv,Scratch
469,m07qv4k0,Scrape
470,m07pdjhy,Rub
471,m07s8j8t,Roll
472,m07plct2,Crushing
473,tdd00112,Crumpling, crinkling
474,m07qcx4z,Tearing
475,m02fs_r,Beep, bleep
476,m07qwdck,Ping
477,m07phxs1,Ding
478,m07rv4dm,Clang
479,m07s02z0,Squeal
480,m07qh7jl,Creak
481,m07qwyj0,Rustle
482,m07s34ls,Whir
483,m07qmpdm,Clatter
484,m07p9k1k,Sizzle
485,m07qc9xj,Clicking
486,m07rwm0c,Clickety-clack
487,m07phhsh,Rumble
488,m07qyrcz,Plop
489,m07qfgpx,Jingle, tinkle
490,m07rcgpl,Hum
491,m07p78v5,Zing
492,tdd00121,Boing
493,m07s12q4,Crunch
494,m028v0c,Silence
495,m01v_m0,Sine wave
496,m0b9m1,Harmonic
497,m0hdsk,Chirp tone
498,m0c1dj,Sound effect
499,m07pt_g0,Pulse
500,tdd00125,Inside, small room
501,tdd00126,Inside, large room or hall
502,tdd00127,Inside, public space
503,tdd00128,Outside, urban or manmade
504,tdd00129,Outside, rural or natural
505,m01b9nn,Reverberation
506,m01jnbd,Echo
507,m096m7z,Noise
508,m06_y0by,Environmental noise
509,m07rgkc5,Static
510,m06xkwv,Mains hum
511,m0g12c5,Distortion
512,m08p9q4,Sidetone
513,m07szfh9,Cacophony
514,m0chx_,White noise
515,m0cj0r,Pink noise
516,m07p_0gm,Throbbing
517,m01jwx6,Vibration
518,m07c52,Television
519,m06bz3,Radio
520,m07hvw1,Field recording
